source_file,source_row,record_key,field_name,raw_value,error_type,error_message,severity
sales.csv,61,ORD107050,amount,-12.00,NEGATIVE_AMOUNT,negative amount retained as refund candidate,WARNING
sales.csv,61,ORD107050,amount,-12.00,AMOUNT_PRICE_MISMATCH,amount differs from qty multiplied by unit_price; retained,WARNING
sales.csv,144,ORD100713,amount,-26.00,NEGATIVE_AMOUNT,negative amount retained as refund candidate,WARNING
sales.csv,144,ORD100713,amount,-26.00,AMOUNT_PRICE_MISMATCH,amount differs from qty multiplied by unit_price; retained,WARNING
sales.csv,178,ORD112047,product_id,P99,INVALID_PRODUCT_FK,product_id does not exist in products,ERROR
sales.csv,212,ORD103482,amount,,MISSING_VALUE,amount is missing or invalid,ERROR
sales.csv,227,ORD105715,amount,,MISSING_VALUE,amount is missing or invalid,ERROR
sales.csv,250,ORD110404,store_id,S99,INVALID_STORE_FK,store_id does not exist in stores,ERROR
sales.csv,289,ORD106299,amount,-10.00,NEGATIVE_AMOUNT,negative amount retained as refund candidate,WARNING
sales.csv,289,ORD106299,amount,-10.00,AMOUNT_PRICE_MISMATCH,amount differs from qty multiplied by unit_price; retained,WARNING
sales.csv,344,ORD111963,amount,,MISSING_VALUE,amount is missing or invalid,ERROR
sales.csv,406,ORD106545,amount,,MISSING_VALUE,amount is missing or invalid,ERROR
sales.csv,516,ORD104094,amount,,MISSING_VALUE,amount is missing or invalid,ERROR
sales.csv,557,ORD107572,product_id,P99,INVALID_PRODUCT_FK,product_id does not exist in products,ERROR
sales.csv,586,ORD106325,amount,,MISSING_VALUE,amount is missing or invalid,ERROR
sales.csv,598,ORD107587,amount,-50.00,NEGATIVE_AMOUNT,negative amount retained as refund candidate,WARNING
sales.csv,598,ORD107587,amount,-50.00,AMOUNT_PRICE_MISMATCH,amount differs from qty multiplied by unit_price; retained,WARNING
sales.csv,692,ORD104351,amount,-64.00,NEGATIVE_AMOUNT,negative amount retained as refund candidate,WARNING
sales.csv,692,ORD104351,amount,-64.00,AMOUNT_PRICE_MISMATCH,amount differs from qty multiplied by unit_price; retained,WARNING
sales.csv,717,ORD109780,product_id,P99,INVALID_PRODUCT_FK,product_id does not exist in products,ERROR
sales.csv,729,ORD104765,amount,,MISSING_VALUE,amount is missing or invalid,ERROR
sales.csv,1073,ORD102452,amount,-26.00,NEGATIVE_AMOUNT,negative amount retained as refund candidate,WARNING
sales.csv,1073,ORD102452,amount,-26.00,AMOUNT_PRICE_MISMATCH,amount differs from qty multiplied by unit_price; retained,WARNING
sales.csv,1121,ORD105105,product_id,P99,INVALID_PRODUCT_FK,product_id does not exist in products,ERROR
sales.csv,1132,ORD105123,amount,,MISSING_VALUE,amount is missing or invalid,ERROR
