order_id,date,store_id,product_id,qty,amount,payment
ORD109456,2026-07-13,S02,P18,2,36.00,支付宝
ORD109474,2026-07-13,S03,P09,2,36.00,银行卡
ORD109143,2026-07-11,S04,P03,1,26.00,支付宝
ORD100348,2026-05-03,S01,P10,2,48.00,现金
ORD102176,2026-05-18,S03,P02,2,60.00,微信
ORD106753,2026-06-22,S05,P20,3,66.00,支付宝
ORD108843,2026-07-09,S02,P02,2,60.00,支付宝
ORD102478,2026/05/21,S04,P20,2,44.00,银行卡
ORD104300,2026-06-05,S04,P10,2,48.00,现金
ORD109186,2026-07-11,S04,P18,2,36.00,现金
ORD102562,2026-05-22,S04,P15,1,6.00,会员储值
ORD107907,2026-07-02,S03,P06,1,42.00,现金
ORD107865,2026-07-02,S01,P03,1,26.00,银行卡
ORD103337,2026-05-27,S03,P13,1,20.00,银行卡
ORD108165,2026-07-04,S01,P03,2,52.00,现金
ORD100151,2026-05-02,S02,P12,2,16.00,现金
ORD107341,2026-06-28,S02,P05,1,34.00,银行卡
ORD101918,2026-05-16,S02,P15,3,18.00,微信
ORD100189,2026-05-02,S05,P12,4,32.00,现金
ORD102271,2026-05-19,S03,P14,2,20.00,微信
ORD108613,2026-07-07,S04,P05,1,34.00,微信
ORD106625,2026-06-22,S04,P01,1,32.00,微信
ORD101044,2026-05-09,S02,P14,1,10.00,现金
ORD100600,2026-05-05,S02,P01,1,32.00,微信
ORD103464,2026-05-29,S02,P10,1,24.00,现金
ORD110784,2026-07-23,S02,P16,1,5.00,支付宝
ORD103667,2026-05-30,S05,P19,1,15.00,现金
ORD106782,2026-06-23,S02,P20,1,22.00,会员储值
ORD103316,2026-05-27,S03,P15,1,6.00,现金
ORD108460,2026-07-06,S03,P04,1,38.00,支付宝
ORD108430,2026-07-06,S02,P04,1,38.00,微信
ORD108477,2026-07-06,S04,P15,4,24.00,银行卡
ORD109159,2026-07-11,S03,P08,1,25.00,银行卡
ORD108594,2026-07-07,S02,P04,1,38.00,支付宝
ORD103883,2026-05-31,S05,P14,1,10.00,支付宝
ORD101827,2026-05-16,S05,P18,1,18.00,支付宝
ORD107384,2026-06-28,S05,P08,1,25.00,支付宝
ORD108186,2026-07-04,S02,P10,2,48.00,支付宝
ORD111761,2026-07-30,S01,P16,1,5.00,会员储值
ORD107109,2026-06-26,S05,P09,2,36.00,会员储值
ORD111003,2026-07-25,S05,P09,1,18.00,微信
ORD102143,2026-05-18,S01,P08,1,25.00,微信
ORD100709,2026-05-06,S04,P07,3,66.00,会员储值
ORD103693,2026-05-30,S02,P12,1,8.00,支付宝
ORD105892,2026-06-17,S04,P07,3,66.00,现金
ORD104505,2026-06-06,S04,P06,1,42.00,微信
ORD101326,2026-05-11,S05,P06,3,126.00,支付宝
ORD104026,2026-06-02,S02,P13,4,80.00,银行卡
ORD100928,2026-05-08,S03,P02,2,60.00,微信
ORD101295,2026-05-10,S04,P05,1,34.00,支付宝
ORD103836,2026-05-31,S04,P13,1,20.00,银行卡
ORD101786,2026-05-15,S03,P08,3,75.00,微信
ORD103147,2026-05-26,S05,P08,2,50.00,现金
ORD102994,2026-05-25,S01,P10,1,24.00,支付宝
ORD108507,2026-07-06,S02,P05,2,68.00,支付宝
ORD104776,2026-06-07,S04,P09,1,18.00,银行卡
ORD108944,2026-07-10,S04,P01,4,128.00,支付宝
ORD104691,2026-06-07,S05,P11,3,78.00,支付宝
ORD106171,2026-06-19,S05,P04,1,38.00,会员储值
ORD107050,2026-06-25,S01,P17,1,-12.00,现金
ORD108958,2026-07-10,S02,P19,1,15.00,微信
ORD103407,2026-05-28,S04,P07,2,44.00,银行卡
ORD107709,2026-06-30,S05,P10,1,24.00,微信
ORD107939,2026-07-02,S02,P04,2,76.00,银行卡
ORD101818,2026-05-15,S03,P06,4,168.00,现金
ORD102942,2026-05-24,S05,P11,1,26.00,微信
ORD100560,2026-05-04,S04,P08,2,50.00,现金
ORD106375,2026-06-20,S05,P06,2,84.00,微信
ORD102461,2026-05-21,S04,P04,1,38.00,微信
ORD110255,2026-07-19,S03,P05,1,34.00,现金
ORD111768,2026-07-30,S02,P03,3,78.00,银行卡
ORD108096,2026-07-04,S03,P11,4,104.00,银行卡
ORD103766,2026-05-31,S04,P08,2,50.00,现金
ORD106175,2026-06-19,S02,P08,1,25.00,支付宝
ORD111890,2026-07-30,S03,P04,1,38.00,微信
ORD106360,2026-06-20,S01,P19,2,30.00,银行卡
ORD102484,2026-05-21,S03,P13,1,20.00,现金
ORD104154,2026-06-03,S02,P14,3,30.00,现金
ORD109695,15-07-2026,S04,P10,1,24.00,支付宝
ORD110870,2026-07-24,S01,P14,3,30.00,会员储值
ORD110283,2026-07-19,S01,P09,3,54.00,微信
ORD102362,2026-05-20,S03,P05,2,68.00,会员储值
ORD110971,2026-07-24,S04,P13,3,60.00,会员储值
ORD101434,2026-05-12,S02,P15,1,6.00,银行卡
ORD106068,2026-06-18,S02,P08,1,25.00,微信
ORD107616,2026-06-29,S02,P18,1,18.00,银行卡
ORD103440,2026-05-28,S03,P09,2,36.00,微信
ORD109536,2026-07-13,S03,P06,1,42.00,会员储值
ORD108845,2026-07-09,S02,P16,1,5.00,现金
ORD104906,2026-06-09,S04,P13,1,20.00,微信
ORD102240,2026-05-19,S05,P05,1,34.00,支付宝
ORD105549,2026-06-14,S01,P13,1,20.00,支付宝
ORD104349,2026-06-05,S04,P14,1,10.00,现金
ORD102382,2026-05-20,S04,P09,4,72.00,微信
ORD107825,2026-07-01,S04,P19,2,30.00,现金
ORD108131,2026-07-04,S02,P12,1,8.00,微信
ORD106490,2026-06-21,S03,P19,2,30.00,会员储值
ORD100073,2026-05-01,S01,P11,3,78.00,现金
ORD108793,2026-07-09,S04,P19,2,30.00,现金
ORD111004,2026-07-25,S03,P09,1,18.00,支付宝
ORD110516,2026-07-21,S05,P04,1,38.00,会员储值
ORD107854,2026-07-02,S05,P01,1,32.00,支付宝
ORD101507,2026-05-13,S03,P14,1,10.00,现金
ORD106265,2026-06-20,S04,P14,1,10.00,微信
ORD111050,2026-07-25,S04,P18,1,18.00,银行卡
ORD109773,2026-07-16,S01,P02,1,30.00,会员储值
ORD100043,2026-05-01,S03,P10,2,48.00,会员储值
ORD110865,2026-07-24,S01,P12,1,8.00,会员储值
ORD101755,2026-05-15,S02,P13,1,20.00,支付宝
ORD108393,2026-07-05,S05,P09,2,36.00,会员储值
ORD103705,2026-05-30,S05,P01,2,64.00,会员储值
ORD103535,2026-05-29,S02,P13,1,20.00,支付宝
ORD100336,2026-05-03,S01,P12,4,32.00,支付宝
ORD111832,2026-07-30,S01,P14,1,10.00,会员储值
ORD101587,2026-05-13,S02,P19,1,15.00,现金
ORD100007,2026-05-01,S04,P07,2,44.00,银行卡
ORD102628,2026-05-22,S02,P04,3,114.00,银行卡
ORD104929,2026-06-09,S04,P19,1,15.00,现金
ORD101145,2026-05-10,S01,P13,1,20.00,现金
ORD106606,2026-06-21,S02,P01,1,32.00,现金
ORD100776,2026-05-07,S03,P06,2,84.00,现金
ORD102849,2026-05-24,S04,P06,3,126.00,银行卡
ORD101373,2026-05-11,S04,P05,1,34.00,微信
ORD107675,2026-06-30,S03,P02,2,60.00,银行卡
ORD107398,2026-06-28,S03,P05,2,68.00,支付宝
ORD100364,2026/05/03,S03,P14,1,10.00,支付宝
ORD108259,2026-07-05,S05,P17,1,12.00,会员储值
ORD111481,2026-07-27,S02,P03,1,26.00,银行卡
ORD101077,2026-05-09,S04,P20,1,22.00,银行卡
ORD111801,2026-07-30,S01,P20,1,22.00,支付宝
ORD105162,2026-06-11,S02,P16,1,5.00,会员储值
ORD101182,2026-05-10,S05,P05,2,68.00,会员储值
ORD105496,2026-06-13,S01,P14,1,10.00,支付宝
ORD110904,2026-07-24,S04,P05,2,68.00,会员储值
ORD111609,2026-07-28,S03,P13,4,80.00,现金
ORD104683,2026-06-07,S05,P10,3,72.00,微信
ORD100768,2026-05-07,S04,P10,1,24.00,银行卡
ORD108767,2026-07-08,S05,P11,1,26.00,微信
ORD106151,2026-06-19,S02,P20,3,66.00,微信
ORD109698,2026-07-15,S04,P19,1,15.00,现金
ORD110843,2026-07-24,S04,P18,4,72.00,会员储值
ORD107778,2026-07-01,S04,P18,1,18.00,现金
ORD100713,2026-05-06,S02,P11,1,-26.00,会员储值
ORD104702,2026-06-07,S02,P19,1,15.00,银行卡
ORD104073,2026-06-02,S05,P15,2,12.00,支付宝
ORD108593,2026-07-07,S04,P12,1,8.00,银行卡
ORD104080,2026-06-02,S01,P12,1,8.00,现金
ORD111737,2026-07-29,S02,P17,1,12.00,微信
ORD107015,2026-06-25,S01,P09,2,36.00,微信
ORD103729,2026-05-31,S03,P10,1,24.00,微信
ORD109419,2026-07-13,S05,P18,3,54.00,会员储值
ORD108276,2026-07-05,S01,P09,3,54.00,现金
ORD110254,2026-07-19,S02,P07,1,22.00,支付宝
ORD106483,2026-06-21,S05,P04,1,38.00,会员储值
ORD109190,2026-07-11,S03,P16,1,5.00,现金
ORD103386,2026-05-28,S03,P10,1,24.00,银行卡
ORD107228,2026-06-27,S02,P15,1,6.00,支付宝
ORD110435,2026-07-20,S04,P14,1,10.00,银行卡
ORD101773,2026-05-15,S04,P07,2,44.00,微信
ORD105124,2026-06-11,S01,P19,1,15.00,现金
ORD100039,2026-05-01,S05,P07,3,66.00,现金
ORD109853,2026-07-16,S01,P18,1,18.00,现金
ORD112041,2026-07-31,S02,P04,1,38.00,现金
ORD100726,2026-05-06,S04,P20,2,44.00,支付宝
ORD108591,2026-07-07,S01,P05,1,34.00,会员储值
ORD106341,2026-06-20,S03,P14,1,10.00,支付宝
ORD102006,2026-05-17,S02,P15,1,6.00,微信
ORD101092,2026-05-09,S04,P17,3,36.00,支付宝
ORD101965,2026-05-16,S02,P07,1,22.00,支付宝
ORD106104,2026-06-18,S02,P15,1,6.00,现金
ORD101890,2026-05-16,S02,P03,2,52.00,支付宝
ORD109243,2026-07-12,S05,P16,1,5.00,会员储值
ORD104213,2026-06-04,S03,P12,3,24.00,现金
ORD103986,2026-06-01,S01,P14,1,10.00,微信
ORD102285,2026-05-19,S03,P16,3,15.00,支付宝
ORD102022,2026-05-17,S05,P02,4,120.00,支付宝
ORD112047,2026-07-31,S03,P99,2,52.00,现金
ORD107839,2026-07-02,S05,P16,1,5.00,支付宝
ORD110006,2026-07-17,S03,P20,1,22.00,现金
ORD100461,2026-05-04,S03,P14,1,10.00,会员储值
ORD104747,2026-06-07,S01,P06,2,84.00,会员储值
ORD103864,2026-05-31,S05,P15,2,12.00,支付宝
ORD107164,2026-06-26,S01,P15,1,6.00,会员储值
ORD112049,2026-07-31,S01,P01,1,32.00,银行卡
ORD107131,2026-06-26,S05,P20,2,44.00,会员储值
ORD109577,2026-07-14,S05,P05,2,68.00,微信
ORD101334,2026-05-11,S01,P13,1,20.00,微信
ORD103930,2026-06-01,S04,P19,2,30.00,现金
ORD105103,2026-06-10,S03,P05,2,68.00,支付宝
ORD105065,2026-06-10,S02,P07,1,22.00,银行卡
ORD104554,2026-06-06,S02,P12,3,24.00,会员储值
ORD104829,2026-06-08,S01,P11,3,78.00,微信
ORD109451,2026-07-13,S03,P19,1,15.00,支付宝
ORD106843,2026-06-23,S01,P13,1,20.00,微信
ORD109326,2026-07-12,S01,P19,3,45.00,微信
ORD105660,2026-06-14,S05,P15,1,6.00,支付宝
ORD105668,2026-06-14,S02,P07,3,66.00,微信
ORD106535,2026-06-21,S01,P12,2,16.00,会员储值
ORD100242,02-05-2026,S01,P17,1,12.00,会员储值
ORD110755,2026/07/23,S02,P19,1,15.00,银行卡
ORD110032,2026-07-18,S01,P18,1,18.00,现金
ORD101209,2026-05-10,S02,P10,2,48.00,现金
ORD103070,2026-05-25,S02,P18,1,18.00,支付宝
ORD105567,2026-06-14,S05,P14,1,10.00,微信
ORD107868,2026-07-02,S03,P07,2,44.00,现金
ORD108685,2026-07-08,S02,P17,1,12.00,银行卡
ORD108569,2026-07-07,S02,P18,1,18.00,会员储值
ORD110548,2026-07-21,S03,P09,1,18.00,银行卡
ORD110364,2026-07-20,S04,P09,1,18.00,微信
ORD100563,2026-05-04,S03,P07,3,66.00,现金
ORD103482,2026-05-29,S02,P13,2,,会员储值
ORD110381,2026-07-20,S03,P03,2,52.00,会员储值
ORD105899,2026-06-17,S04,P13,2,40.00,会员储值
ORD111238,2026-07-26,S04,P09,3,54.00,微信
ORD106985,2026-06-25,S04,P05,2,68.00,银行卡
ORD111522,2026-07-28,S05,P04,2,76.00,银行卡
ORD101446,2026-05-12,S02,P19,1,15.00,支付宝
ORD109927,2026-07-17,S05,P04,2,76.00,会员储值
ORD108857,2026-07-09,S01,P04,1,38.00,银行卡
ORD100603,2026-05-05,S04,P15,4,24.00,现金
ORD105241,2026-06-11,S03,P18,1,18.00,支付宝
ORD105855,2026-06-16,S04,P17,3,36.00,会员储值
ORD103379,2026-05-28,S04,P12,2,16.00,会员储值
ORD108610,2026-07-07,S02,P18,1,18.00,微信
ORD108897,2026-07-10,S02,P13,1,20.00,微信
ORD105715,2026-06-15,S04,P12,1,,微信
ORD101289,2026-05-10,S03,P20,1,22.00,会员储值
ORD108982,2026-07-10,S04,P20,1,22.00,银行卡
ORD111730,2026-07-29,S03,P03,2,52.00,会员储值
ORD107509,2026-06-29,S01,P09,2,36.00,会员储值
ORD109208,2026-07-12,S05,P13,4,80.00,银行卡
ORD110078,2026-07-18,S01,P16,1,5.00,银行卡
ORD111034,2026-07-25,S04,P11,1,26.00,支付宝
ORD106888,2026-06-24,S03,P13,1,20.00,会员储值
ORD108580,2026-07-07,S03,P14,1,10.00,银行卡
ORD110988,2026-07-25,S03,P01,1,32.00,会员储值
ORD108391,2026-07-05,S03,P07,1,22.00,现金
ORD105830,2026-06-16,S05,P11,1,26.00,现金
ORD111359,2026-07-26,S01,P15,4,24.00,银行卡
ORD107779,2026-07-01,S03,P10,2,48.00,支付宝
ORD111513,2026-07-27,S01,P03,1,26.00,会员储值
ORD104877,2026-06-08,S01,P12,1,8.00,微信
ORD101017,2026-05-09,S01,P01,2,64.00,银行卡
ORD102990,2026-05-25,S05,P17,2,24.00,现金
ORD108549,2026-07-07,S04,P01,3,96.00,会员储值
ORD105093,2026-06-10,S05,P12,1,8.00,现金
ORD104461,2026-06-06,S04,P19,1,15.00,会员储值
ORD108458,2026-07-06,S04,P08,1,25.00,支付宝
ORD110404,2026-07-20,S99,P05,1,34.00,现金
ORD100396,2026-05-03,S05,P08,1,25.00,银行卡
ORD109996,2026-07-17,S04,P20,1,22.00,银行卡
ORD100809,2026-05-07,S02,P15,1,6.00,会员储值
ORD109320,2026-07-12,S02,P03,1,26.00,会员储值
ORD101038,2026-05-09,S03,P15,2,12.00,银行卡
ORD106518,2026-06-21,S01,P16,3,15.00,会员储值
ORD100717,2026-05-06,S03,P01,1,32.00,会员储值
ORD109512,2026-07-13,S02,P10,3,72.00,支付宝
ORD107032,2026-06-25,S04,P17,1,12.00,银行卡
ORD102341,2026-05-20,S05,P01,1,32.00,银行卡
ORD108913,2026-07-10,S02,P07,1,22.00,支付宝
ORD106557,2026-06-21,S01,P12,1,8.00,会员储值
ORD104759,2026-06-07,S02,P19,3,45.00,会员储值
ORD103872,2026-05-31,S01,P15,3,18.00,会员储值
ORD107033,2026-06-25,S05,P19,2,30.00,支付宝
ORD107966,2026-07-02,S02,P14,1,10.00,会员储值
ORD104746,2026-06-07,S03,P03,1,26.00,支付宝
ORD111842,2026-07-30,S05,P16,3,15.00,支付宝
ORD109455,2026-07-13,S04,P03,2,52.00,银行卡
ORD105780,2026-06-15,S01,P19,1,15.00,现金
ORD103700,2026-05-30,S05,P19,1,15.00,支付宝
ORD103834,2026-05-31,S02,P12,1,8.00,银行卡
ORD100056,2026-05-01,S05,P06,1,42.00,现金
ORD105270,2026-06-12,S02,P20,4,88.00,现金
ORD107941,2026-07-02,S05,P18,1,18.00,银行卡
ORD103014,2026-05-25,S01,P05,2,68.00,微信
ORD101131,2026-05-09,S04,P06,1,42.00,会员储值
ORD105422,2026-06-13,S01,P03,2,52.00,现金
ORD101984,16-05-2026,S05,P11,1,26.00,会员储值
ORD108129,2026-07-04,S02,P05,3,102.00,支付宝
ORD110955,2026-07-24,S03,P05,1,34.00,现金
ORD111475,2026-07-27,S04,P10,1,24.00,银行卡
ORD111993,2026-07-31,S04,P06,2,84.00,微信
ORD107082,2026-06-26,S05,P14,1,10.00,现金
ORD103476,2026-05-29,S03,P05,3,102.00,现金
ORD102877,2026-05-24,S05,P15,3,18.00,支付宝
ORD104840,2026-06-08,S05,P18,1,18.00,支付宝
ORD111183,2026-07-26,S04,P07,2,44.00,会员储值
ORD106299,2026-06-20,S05,P16,2,-10.00,支付宝
ORD111052,2026-07-25,S02,P19,1,15.00,银行卡
ORD105345,2026-06-13,S04,P12,2,16.00,现金
ORD104308,2026-06-05,S03,P15,1,6.00,现金
ORD108140,2026-07-04,S01,P08,1,25.00,银行卡
ORD100969,2026-05-08,S04,P07,1,22.00,现金
ORD101101,2026-05-09,S03,P09,2,36.00,微信
ORD111494,2026-07-27,S04,P06,2,84.00,现金
ORD106953,2026-06-24,S04,P16,1,5.00,支付宝
ORD103395,2026-05-28,S02,P07,2,44.00,现金
ORD108342,2026-07-05,S03,P18,1,18.00,现金
ORD107042,2026-06-25,S02,P07,3,66.00,现金
ORD104879,2026-06-08,S02,P14,4,40.00,支付宝
ORD111250,2026-07-26,S05,P01,2,64.00,微信
ORD109649,2026-07-15,S01,P01,1,32.00,会员储值
ORD100303,2026-05-03,S05,P11,1,26.00,会员储值
ORD107326,2026-06-27,S03,P02,2,60.00,支付宝
ORD100179,2026-05-02,S05,P04,1,38.00,现金
ORD104378,2026-06-06,S03,P12,2,16.00,微信
ORD100724,2026-05-06,S02,P01,3,96.00,会员储值
ORD108149,2026-07-04,S01,P19,1,15.00,支付宝
ORD108706,2026-07-08,S05,P01,2,64.00,现金
ORD100999,2026-05-09,S04,P10,4,96.00,现金
ORD101321,2026-05-11,S04,P08,2,50.00,支付宝
ORD106092,2026-06-18,S04,P09,1,18.00,银行卡
ORD104384,2026-06-06,S03,P12,1,8.00,微信
ORD111999,2026-07-31,S05,P10,1,24.00,会员储值
ORD109979,2026-07-17,S01,P17,3,36.00,支付宝
ORD106658,2026-06-22,S03,P10,1,24.00,银行卡
